City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,gazanjyk,39.2446,55.5154,47.66,60,100,8.05,TM,1675621335
264,am timan,11.0297,20.2827,86.59,11,29,3.31,TD,1675621335
265,charters towers,-20.1,146.2667,74.53,96,100,7.74,AU,1675621335
266,ribeira grande,38.5167,-28.7,61.77,88,20,11.99,PT,1675621182
267,lebu,-37.6167,-73.65,66.27,75,26,19.3,CL,1675621336
268,dire,12.2833,-10.9667,96.67,9,11,3.76,ML,1675621336
269,bafq,31.6128,55.4107,51.73,28,0,0.65,IR,1675621337
270,dharchula,29.85,80.5333,50.52,37,0,7.18,IN,1675621338
271,kirkuk,35.4681,44.3922,50.34,59,93,12.15,IQ,1675621339
272,yeppoon,-23.1333,150.7333,78.58,87,60,11.54,AU,1675621083
273,troy,42.6056,-83.1499,41.56,71,0,10.36,US,1675621038
274,broome,42.2506,-75.833,43.02,52,0,13.0,US,1675621339
275,barra do garcas,-15.89,-52.2567,75.78,88,75,4.61,BR,1675621340
276,auki,-8.7676,160.7034,76.71,94,100,12.57,SB,1675621340
277,severo-kurilsk,50.6789,156.125,24.1,79,94,7.76,RU,1675621152
278,cabo san lucas,22.8909,-109.9124,83.61,54,0,4.61,MX,1675621341
279,pacific grove,36.6177,-121.9166,56.1,87,75,13.8,US,1675621184
280,hai duong,20.9333,106.3167,66.2,91,100,7.49,VN,1675621341
281,erenhot,43.6475,111.9767,15.06,55,28,0.22,CN,1675621341
282,antalaha,-14.9003,50.2788,76.05,91,98,6.08,MG,1675621342
283,villa union,23.2,-106.2333,82.36,51,0,6.91,MX,1675621342
284,santa isabel,-23.3156,-46.2214,87.51,79,82,9.4,BR,1675621343
285,areka,7.0667,37.7,68.61,29,16,8.93,ET,1675621343
286,homer,59.6425,-151.5483,35.49,64,100,19.57,US,1675621343
287,sur,22.5667,59.5289,71.55,72,29,7.09,OM,1675621344
288,san cristobal,7.7669,-72.225,78.98,67,48,7.09,VE,1675621344
289,mongu,-15.2484,23.1274,70.34,87,96,5.57,ZM,1675621345
290,the valley,18.217,-63.0578,82.26,65,20,20.71,AI,1675621345
291,ushibuka,32.1906,130.0228,48.76,59,96,8.05,JP,1675621345
292,sorland,67.667,12.6934,39.06,61,97,20.62,NO,1675621116
293,khor,47.8861,134.9464,-12.68,100,95,5.19,RU,1675621346
294,freeport,40.6576,-73.5832,45.37,56,0,11.5,US,1675621346
295,goderich,43.7501,-81.7165,38.91,75,100,16.11,CA,1675621347
296,ulaangom,49.9811,92.0667,-3.87,99,100,1.07,MN,1675621347
297,churachandpur,24.3333,93.6667,47.66,62,3,1.59,IN,1675621348
298,hwange,-18.3693,26.5019,73.09,83,97,2.46,ZW,1675621348
299,linguere,15.3953,-15.1193,91.62,25,0,4.61,SN,1675621349
300,maryville,35.7565,-83.9705,56.68,62,75,8.99,US,1675621308
301,carballo,43.213,-8.691,54.82,73,0,9.1,ES,1675621349
302,khatanga,71.9667,102.5,-29.72,95,98,5.32,RU,1675621349
303,pokhara,28.2333,83.9833,55.63,56,21,4.94,NP,1675621350
304,ballina,-28.8667,153.5667,68.02,96,79,2.57,AU,1675621186
305,ghosi,26.1083,83.5436,57.63,61,0,5.84,IN,1675621351
306,kalemie,-5.9475,29.1947,71.29,83,85,4.05,CD,1675621351
307,ambulu,-8.345,113.6058,75.83,88,100,4.14,ID,1675621352
308,luba,3.4568,8.5547,84.09,81,44,10.02,GQ,1675621352
309,pinega,64.7001,43.3936,-0.38,98,53,5.75,RU,1675621352
310,martos,37.7211,-3.9726,52.39,24,2,7.0,ES,1675621353
311,gorodishche,48.8045,44.4744,23.88,93,100,11.18,RU,1675621353
312,sobolevo,54.4299,31.8996,23.07,94,100,7.85,RU,1675621354
313,baculin,7.4525,126.5842,76.69,81,99,6.04,PH,1675621354
314,sarti,40.1,23.9833,40.64,60,100,12.5,GR,1675621355
315,deputatskiy,69.3,139.9,-24.39,98,100,3.58,RU,1675621065
316,lhokseumawe,5.1801,97.1507,76.77,85,100,2.86,ID,1675621355
317,teacapan,22.55,-105.75,78.55,44,0,6.02,MX,1675621356
318,tautira,-17.7333,-149.15,81.3,76,85,15.1,PF,1675621356
319,virginia beach,36.8529,-75.978,56.03,53,100,13.8,US,1675621266
320,manapparai,10.6,78.4167,72.46,83,50,4.76,IN,1675621357
321,georgetown,5.4112,100.3354,76.95,99,20,2.3,MY,1675621357
322,peniche,39.3558,-9.3811,59.56,59,2,6.2,PT,1675621357
323,pisco,-13.7,-76.2167,77.05,78,0,10.36,PE,1675621191
324,faya,18.3851,42.4509,55.92,62,98,5.03,SA,1675621297
325,mahajanga,-15.7167,46.3167,80.62,89,20,1.14,MG,1675621358
326,rudnichnyy,59.617,52.4703,-7.64,100,92,2.98,RU,1675621359
327,valdez,1.2492,-78.9831,79.88,79,62,11.43,EC,1675621359
328,college,64.8569,-147.8028,-11.22,73,0,4.61,US,1675621359
329,caborca,30.5838,-111.101,72.32,16,0,3.89,MX,1675621360
330,humaita,-7.5061,-63.0208,80.74,81,94,2.62,BR,1675621360
331,byron bay,-28.65,153.6167,67.95,75,79,4.23,AU,1675621065
332,nouadhibou,20.931,-17.0347,71.58,33,100,16.11,MR,1675621361
333,salalah,17.0151,54.0924,75.29,69,0,3.44,OM,1675621127
334,arona,28.0996,-16.681,60.39,55,40,10.36,ES,1675621361
335,kavieng,-2.5744,150.7967,81.36,74,96,2.39,PG,1675621106
336,port blair,11.6667,92.75,80.64,83,40,3.44,IN,1675621362
337,san rafael,-34.6177,-68.3301,96.82,12,2,12.95,AR,1675621362
338,gobabis,-22.45,18.9667,77.29,53,100,10.67,NA,1675621363
339,vysokogornyy,50.1167,139.15,-12.93,100,99,2.08,RU,1675621363
340,kruisfontein,-34.0033,24.7314,76.89,80,13,12.75,ZA,1675621364
341,esso,55.9333,158.7,-3.48,83,87,4.0,RU,1675621364
342,tezu,27.9167,96.1667,61.59,37,4,4.45,IN,1675621364
343,urgut,39.4022,67.2431,38.82,85,100,5.01,UZ,1675621365
344,kamenka,51.3223,42.7678,10.36,98,76,4.9,RU,1675621365
345,severobaykalsk,55.65,109.3167,-3.33,92,86,5.23,RU,1675621365
346,yuci,37.6803,112.7319,22.75,58,26,4.47,CN,1675621366
347,los palacios,22.5872,-83.2486,86.29,46,34,7.61,CU,1675621366
348,albury,-36.0833,146.9167,57.02,100,0,1.99,AU,1675621367
349,karlstad,59.3793,13.5036,23.56,100,87,3.44,SE,1675621367
350,ascension,30.2169,-90.9001,70.07,54,100,6.91,US,1675621368
351,kaeo,-35.1,173.7833,66.33,94,99,5.39,NZ,1675621170
352,nova varos,43.4606,19.8114,14.88,95,100,9.62,RS,1675621368
353,lorengau,-2.0226,147.2712,80.89,79,100,3.58,PG,1675621368
354,ihosy,-22.4,46.1167,66.78,92,86,9.4,MG,1675621369
355,pimentel,-6.8367,-79.9342,84.49,54,0,14.97,PE,1675621369
356,sines,37.9562,-8.8698,59.29,62,10,3.98,PT,1675621370
357,leh,34.1667,77.5833,7.68,55,100,0.31,IN,1675621370
358,cidreira,-30.1811,-50.2056,82.4,50,12,14.65,BR,1675620723
359,tres picos,15.8667,-93.5333,87.93,41,0,3.04,MX,1675621371
360,vestmanna,62.1564,-7.1664,45.52,93,100,23.02,FO,1675621371
361,bousso,10.4795,16.7117,86.5,10,85,7.74,TD,1675621371
362,mastic beach,40.7668,-72.8521,43.57,67,0,9.22,US,1675621150
363,baruun-urt,46.6806,113.2792,-5.03,93,36,5.21,MN,1675621372
364,na klang,17.3072,102.1889,73.98,79,77,2.28,TH,1675621372
